Expected a replacement and had battery issue but got back my money though and had to purchase a 64 GB storage phone under the same price (they have no control on pricing as it keeps changing everyday) and got that phone replaced again because of battery issue. My third replacement is thank fully working properly.,2
"Such a wonderful phone in this range
845 snapdragon which is the latest that is in it.
Just go for it.
Sexy phone",5
Received the phone was happy to see the packaging. Get a screen guard and back cover on the earliest. Get a screen guard on the earliest as the anti scratch layer doesn't last very long as it is 3rd generation gorilla glass. Over all phone is perfect although the build quality could've been better. I am very happy to have this one as it caters to all my needs perfectly.,5
Its all what i wanted from a phone.The fingerprint scanner is fast.The IR face unlock is fast.And the performance is also great.Overall a great phone.,5
Beast at this price range,5
Amazing pics n videos... I m in love with this phone.. nice n fast  .. awesome pics. Great battery life.. a real flagship phone,5
Total waste of money I bought it and replaced 2 times still there was problem of gosh touch means multiple touch problem and screen changes its color after 4 to 5 days display problem so if u r reading this review then plz don't go to this mobile total waste of money.,1
Refubished product sold,1
The phone is functioning well however after 2months of usage I can feel a small hump in the back side of the  rt corner . Not sure what it is,2
Was a bit skeptical about the battery coming from a 5000 mAh cell but believe me it gives the best battery performance. Snapdragon 845 is Godly!,5
"This phone has Superb Pic quality and amazing features, almost everything which you actually looking when you buy any new phone.",5
"Very good phone very sharp screen. Phone camera is the best as compare to other high end,phones.",5
"Bought it (128/6 GB version) for less than 14K during sale with exchange offer and other multiple discounts. Superb phone. Butter smooth operation. The call quality also improved over my previous Sony phone. The audio video quality is also excellent. Main camera is superb. Has a long battery life - for power uses also.
As cons, there is a bit of screen bleeding issue at the bottom and it also registers occasional false touches when screen gets accidentally contacted with headphone wire. But these problems were also existent with my couple of earlier phones. Seems to be a generic problem for some low and mid range phone nowadays. Its a shame that technological advancements are, sometimes, practically making the phones poorer, qualitywise - definitely a lack of adequate and proper quality control in the manufacturer's priority line. If you can overlook the above two cons, the device overall is a pretty good buy having high VFM.",5
"My father's oneplus 5 beating the gimmick poco f1 8gb 256 gb...
Camera video is very poor
Feels like a cheap midrange device
You won't find any punch of sd845
Its a worst product ever
And when i wanted my refund

Amazon india is just disconnecting call when i wanted my refund
No help from Amazon
Really bad experience from Amazon call center
Wont buy a single thing from this site again
I cuss you",1
This product is the best value for money compared to all the phones I purchased so far. The battery is excellent - Lasts almost a full day even for heavy users. The processor speed is great and the phone doesn't become warm even after extended use. Quick charge is extremely effective as battery gets charged very quickly. Even the speaker and picture quality is excellent. The ring tone library is not very attractive. Also it takes a while to get used to the phone commands.,5
Good mobile but not full value of money.,4
"I have ordered in September 2019 ,but the package that has been sent to me is of Oct 2018 , which is an year old. The screen has bleeding issue and the battery backup is pathetic. Amazon should ensure its customers get a defect free product and official / authentic sellers. Totally dissatisfied. Do not buy the defective.",1
"Beware. Brought in October 2019 but the phone is Nov 2018 mfg. Working fine for now, but battery is 1 year old, will see how it performs.",3
"Dysfunctional product.
Microphone in a new phone does not work!
A phone without a microphone! Ever heard such a thing?",1
"pros
screen- good(4 star)
battery- excellent (5 star)
look- JUST OK(3 star)
performance- Excellent(5 star)
camera-JUST OK (3 star)
For gaming- Good(4 star)

cons/better to say bugs
-when I'm trying to download apps on play-store it's taking so long than expected ,
sometimes it showing like waiting for  network /WI-FI ,that was so frustrating
-it will take 55-60 mins to charge  from 0-80 but 45 extra mins to charge full",4
"I ordered Poco in Great Indian Festival Sale. Poco I received is manufactured Nov/2018 with nvt panel and it has slight bit of screen bleeding in lower edge. Seller should be selling newer units, as older units had screen bleeding issues. I bought this phone because of development support. Gonna replace this.

Update
Replacement received, manufactured Oct/2018, same screen bleeding. Returned.",1
Beware of the product you are receiving. I ordered it in Oct 2019 and the product i received was manufactured in Oct 2018. The phone was dead so i thought of charging it. As soon as I plugged the charging cable the phone swollen from the backside. Please check the manufacturing date before breaking the seal of the product.,1
This is One of the Best snapdragons 845 processor phone with best camera which is far better than redmi note 7 pro. Highly recommended if u are gamer. And wants best performance under 20k price value.,5
"It is a beast in the world of smartphones. Theere is no best phone in the world, just the best suited. And this phone best suited for me. Battery is upto the mark. Storage is just killing. I'm filling it with tons of apps and it's still just on 2%. And the armoured edition looks damn good. Screen is good for me. Because I prefered natural colors over flashy. Touch is buttery smooth. Finger touch is sooth as hell but the face lock option is just killing man. There was a problem of usb debugging. But it wasn't of mobiles but charging cables problem. So I had yto buy another cable. And the problem git solved. Overall I'm much satisfied. So if you wanna phone under 20k, don't want to strain your eyes, prefer natural colors, and don't care about notch then just go for this beast.",5
"Poco F1 used to be a hot product when it was launched. Since then many new updated products were launched but even then Poco F1 is a capable device with previous-gen flagship-grade specs. I got it just for such specs at rock bottom prices.

••••••••••••••••••••
🎁 INSIDE BOX
••••••••••••••••••••

1. Device
2. 18W QC3.0-compatible fast charger
3. USB-C data cable
4. Soft Silicone Cover
5. Sim Slot Ejector Tool
6. Few Guides
(No earphones, as is with every budget & midrange device, but this one was supposed to be a flagship but at rock bottom prices, so headphone was supposedly skipped)

••••••••••••••••••••••••
📝 SOME DETAILS
••••••••••••••••••••••••

As the trend goes, MI phones are value for money always. This one's no exception.
Ratings are relative to the pricing of the device.

1. Screen 9/10
2. Camera 9/10 (untouched samples attached)
3. Battery 8/10
4. Performance 10/10 (copper pipe & vapor chamber based cooling)
5. Build 8/10 (build is solid but plastic)
6. Sound 9/10

Overall 8.8/10 or 4.4/5 So a 4 star device

DEVICE:

On bottom:  mic hole, USB-C port, speaker
On top: Headphone jack, secondary mic hole
On right: volume & power buttons
On left: sim card hybrid tray

•••••••••••
➕ PROS
•••••••••••

1. Good quality & solid but plastic build.
2. High pixel density screen with very fewer bezels.
3. Rounded corners of device & screen to provide refreshing looks
4. 12 MP capable back camera with a depth sensor for blur effect, & dual-tone flash. Edge detection is quite good.
5. 20 MP front camera with flash. Photos are beautiful with beauty mode on. Even w/o depth sensor, portrait mode works well with proper blur effect.
6. Very effective face unlock system with a dedicated IR camera and IR illuminator on the left of the earpiece. Works well in low light also, n unlock time is 0.3-0.5 sec.
7. Stereo speakers for an immersive loud sound. Earpiece doubles as a speaker.
8. Fast fingerprint sensor, unlock time 0.2-0.4 sec.
9. Top-notch performance via Snapdragon 845, Adreno 630 & 6 GB ram.
-Easily plays demanding games at high settings like Castle Seige, Mortal Combat, Dead Trigger, Asphalt
-Overall OS is smooth with nice gestures & no lag anywhere. Its all blazing fast.
-Will heat slightly during extensive usage.
10. An awesome battery of 4000mah with a backup of around 1.5 days with moderate to heavy usage.
11. Lovely full-screen gestures as an alternative to buttons on the bottom of the screen. More screen real estate available to use & it's a refreshing way to go back, home & to recents.
12. Perfectly working screencast/miracast. This feature mirrors phone screen on smart tv with direct connection b/w phone & tv. Although it also supports DLNA which works via wifi router.

••••••••••••
➖ CONS
••••••••••••

1. No OIS of photos. So low-quality shots in many situations, especially night ones.
2. No EIS for 4K videos. So avoid shakes anyhow.
3. No IR blaster as is with most of MI packages.
4. No waterproofing. Flagship tag should carry along this thing too. But I think you got a max of every world already.
5. Notched display. Some may like, some may not. Though there's an option to disable notch where the screen on either side of the notch is blacked out to but this wastes screen estate.
6. Hybrid sim tray. So you can use sim1 + sim2 or sim + memory card. But i think you have plenty of space already. Also, having precious unbacked data on the portable risky device like a smartphone is a bad idea. Lesser the space, more careful we are with the backup. Years ago I lost a lot of precious data coz of that.

••••••••••••••••
🏆 VERDICT
••••••••••••••••

If you want to save some money and not a notch hater then there's no reason to not get this device even today, when its really hitting rock bottom wrt price. Also, you get a previous-gen flagship processor & very good performance at a low price.

So it's the best time to grab deals & get the top model of the late 2018/early 2019. Also, device is not very old as of today's standards.

Getting a device right after launch is a costly affair. But when its successor (k20 pro which demands quite a premium price) is launched, it is like grab the deal, as its heavily discounted to clear out stocks.",5
"Hey Guys,
Its one of the best phone in this segment...!
Its really fast and handy with good battery backup. The memory of 128 GB & 6 GB RAM gives you vast space for storage. It also support fast charging which can charge your phone from 0 to 100% with two hours. I also checked by opening multiple app & games running together but it doesn't gets heated. I bought it for Rs.13,400/- by exchanging my old Samsung A5 with extra 2k bonus on exchange and I could also claim 1500/- off with my SBI credit card.
Thank You Amazon...😍",5
"Received oldest stock (Manufactured October 2018). This is my second Poco F1, bought the first one on the launch day from other platform( where Poco F1 exclusively sold there). All the initial batches have had serious QC issues. I again received from initial batch, so I am not sure how many QC related issues I will face with this one. Absolutely disappointed with Amazon. This is not the only old stock product I received, I purchased about 6-7 lakhs worth of products (from my personal & business account) during this month, many products especially below 20k value are off very old stock(received clothes manufactured in early 2017!).",1
My mobile phone glass has damaged wt should we do,3
"The performance for which I've given it a 1 star is increased after the first two updates. Now the performance is fine but the phone's problem still not ends here. The battery life mentioned here (4000 mAh) is not what it seems. I get severe issues with the battery life. It ends too soon when I play games. And when battery is low it lags too much.
The charger is not a fast charger. When you play PUBG with charger plugged in, charge still decreases. I was already prepared for screen bleeding but the multi touch issue takes it to another level. After the second update my face unlock isn't working good. It's hard to register a face and doesn't work unless I'm too close to the phone. The right side back button gesture is also seems to failed when the phone is on landscape mode.
It's worth buying if you are prepared for these issues.",1
"The product box seal was in opened condition, the product was not damaged, the Amazon packaging was excellent, not sure why the phone box was not sealed. The phone is excellent, great battery life, great speed, good buy at this price",5
"I brought this Poco f1 8GB Ram on Diwali sale just before 2 days.. But extremely disappointed. The joy of buying the new phone did not last long. Calling is the main feature of any phone. And the Mic doesn't work from day 1 on this poco f1, the caller or hearer on the call keeps on telling me every 20 seconds that your voice is breaking up. I initially thought it to be network problem but when I tried with all my family members Sims  , the problem remained the same. Mic doesn't work. I guess they are selling us a refurbished phones. I am waiting for the technician tomorrow if its not fixed will return it. Extremely disappointed the phone look and speed is Good though",1
Nice product,5
Poco F1 has been a very good phone (I bought the Rosso red one - looks nice). The charging is also quick (though not as quick as Dash charging) with decent battery life. Phone doesn't hang. I had 2 options in mind - One plus 6T & Poco F1. The only edge 6T has over Poco is quality of photos (esp. in low light) but Poco is not that bad at all. Moreover has good processor & decent RAM. Overall best value for money !!!,5
Oct 2018 product sold in sep 2019 sucks,1
Defective product was sent,1
"SUPERB POCO F1 ,,,, TRUST ME GUYS ... U DON'T FIND LIKE THIS DEVICE IN PRESENT TIME.. DONT READ REVIEWS.. JUST GRAB IT BEFORE OUT OF STOCK...

ORDER ONLY STEEL BLUE VARIANT 6 GB 128 GB ... DONT ORDER RED.. RED IS DEFECTS...

BATTERY 5/5
SPEED 5/5
CAMERA 5/5
VOICE 5/5
SPEAKER 5/5

TRUST ME... DONT GO ANYWHERE TO FIND DEVICE.. ITS BEAST.... TRUST ME... THANKS AMAZON...",5
I didn't cared about its camera MP... What i cared about is its processor specially for gaming purposes. I wont say its the best but i can give 5 star for its performance..,5
